Date,axiuTep,iniuTep,AverageTep,Departure,HDD,CDD,Precipitation,NewSnow,DepartureTep,SnowDepth,Electricity(GWh)/Non-Residential,Electricity(GWh)/Residential,Gas(Thers)/Non-Residential,Gas(Thers)/Residential,edian_Incoe(dollars),Population,Wind,Solar,Sall hydro,Geotheral,Bioass,Large hydro,Coal,Nuclear,Natural gas,Unspecified
41687,66,41,53.5,,11,0,0,0,0.5,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41688,67,43,55,,10,0,0,0,1.8,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41689,65,48,56.5,,8,0,0,0,3.1,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41690,67,44,55.5,,9,0,0,0,1.9,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41691,70,42,56,,9,0,0,0,2.2,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41692,72,43,57.5,,7,0,0,0,3.6,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41693,73,43,58,,7,0,0,0,3.9,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41694,75,44,59.5,,5,0,0,0,5.2,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41695,76,45,60.5,,4,0,0,0,6,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41696,64,50,57,,8,0,0.41,0,2.4,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41697,67,51,59,,6,0,0.03,0,4.2,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41698,57,53,55,,10,0,1.05,0,0.1,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41699,69,51,60,,5,0,0,,4.9,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41700,62,50,56,,9,0,0.18,,0.8,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41701,60,50,55,,10,0,0.12,,-0.3,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41702,63,52,57.5,,7,0,0.01,,2,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41703,69,54,61.5,,3,0,0.31,,5.9,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41704,70,54,62,,3,0,0.01,,6.3,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
