Datetime,CH4_ppm
2/21/17 21:46,2.29734
2/21/17 21:47,2.32339
2/21/17 21:48,2.31311
2/21/17 21:49,2.35911
2/21/17 21:50,2.37683
2/21/17 21:51,2.35681
2/21/17 21:52,2.37265
2/21/17 21:53,2.35581
2/21/17 21:54,2.36425
2/21/17 21:55,2.36365
2/21/17 21:56,2.3706
2/21/17 21:57,2.38864
2/21/17 21:58,2.39437
2/21/17 21:59,2.40043
2/21/17 22:00,2.40579
2/21/17 22:01,2.39642
2/21/17 22:02,2.39061
2/21/17 22:03,2.36235
2/21/17 22:04,2.33717
2/21/17 22:05,2.35374
2/21/17 22:06,2.37541
2/21/17 22:07,2.34875
2/21/17 22:08,2.33898
2/21/17 22:09,2.34021
2/21/17 22:10,2.32976
2/21/17 22:11,2.32314
2/21/17 22:12,2.31586
2/21/17 22:13,2.32119
2/21/17 22:14,2.32409
2/21/17 22:15,2.32508
2/21/17 22:16,2.32807
2/21/17 22:17,2.33797
2/21/17 22:18,2.3381
2/21/17 22:19,2.35073
2/21/17 22:20,2.3395
2/21/17 22:21,2.33355
2/21/17 22:22,2.33469
2/21/17 22:23,2.33756
2/21/17 22:24,2.3417
2/21/17 22:25,2.34739
2/21/17 22:26,2.37473
2/21/17 22:27,2.35774
2/21/17 22:28,2.36689
2/21/17 22:29,2.37469
2/21/17 22:30,2.41095
2/21/17 22:31,2.42834
2/21/17 22:32,2.39358
2/21/17 22:33,2.38713
2/21/17 22:34,2.3699
2/21/17 22:35,2.35989
2/21/17 22:36,2.35576
2/21/17 22:37,2.34748
2/21/17 22:38,2.35302
2/21/17 22:39,2.38167
2/21/17 22:40,2.3892
2/21/17 22:41,2.38028
2/21/17 22:42,2.38135
2/21/17 22:43,2.38379
2/21/17 22:44,2.38021
2/21/17 22:45,2.37384
2/21/17 22:46,2.35925
2/21/17 22:47,2.37895
2/21/17 22:48,2.3825
2/21/17 22:49,2.38279
2/21/17 22:50,2.38044
2/21/17 22:51,2.39826
2/21/17 22:52,2.42215
2/21/17 22:53,2.46463
2/21/17 22:54,2.42905
2/21/17 22:55,2.41178
2/21/17 22:56,2.39431
2/21/17 22:57,2.38951
2/21/17 22:58,2.38256
2/21/17 22:59,2.38301
2/21/17 23:00,2.38225
2/21/17 23:01,2.38126
2/21/17 23:02,2.37976
2/21/17 23:03,2.38789
2/21/17 23:04,2.39741
2/21/17 23:05,2.38323
2/21/17 23:06,2.38448
2/21/17 23:07,2.40368
2/21/17 23:08,2.4108
2/21/17 23:09,2.4001
2/21/17 23:10,2.42201
2/21/17 23:11,2.45877
2/21/17 23:12,2.48104
2/21/17 23:13,2.51293
2/21/17 23:14,2.53141
2/21/17 23:15,2.49444
2/21/17 23:16,2.49283
2/21/17 23:17,2.51071
2/21/17 23:18,2.51343
2/21/17 23:19,2.51909
2/21/17 23:20,2.52068
2/21/17 23:21,2.52873
2/21/17 23:22,2.55354
2/21/17 23:23,2.58737
2/21/17 23:24,2.60047
2/21/17 23:25,2.62832
2/21/17 23:26,2.63778
2/21/17 23:27,2.63721
2/21/17 23:28,2.62176
2/21/17 23:29,2.62021
2/21/17 23:30,2.62213
2/21/17 23:31,2.61952
2/21/17 23:32,2.59893
2/21/17 23:33,2.48843
2/21/17 23:34,2.43561
2/21/17 23:35,2.42689
2/21/17 23:36,2.41837
2/21/17 23:37,2.42448
2/21/17 23:38,2.43398
2/21/17 23:39,2.4482
2/21/17 23:40,2.45358
2/21/17 23:41,2.48012
2/21/17 23:42,2.49833
2/21/17 23:43,2.49164
2/21/17 23:44,2.48972
